,postcode,house_price,area,size,purchase_price,lat,lon
78,1013 CW Netherlands,825000.0,113.5,,247891.0588235294,52.3875892,4.886625
79,1013 DW Netherlands,250000.0,50.0,,156150.0,52.39133169999999,4.8769604
80,1013 EA Netherlands,795000.0,158.0,63.26315789473684,213421.27388535033,52.3796508,4.892515899999999
81,1013 EC Netherlands,1695000.0,258.0,79.3076923076923,483912.8461538461,52.3823433,4.8894602
82,1013 GE Netherlands,600000.0,85.0,598.125,1171737.661971831,52.3797836,4.894174
83,1013 GL Netherlands,525000.0,86.5,116.06666666666666,312634.2051282051,52.3806746,4.892313500000001
84,1013 GM Netherlands,220000.0,35.0,394.0,839953.2767527675,52.382556,4.8887528
85,1013 HB Netherlands,875000.0,125.0,,320491.40458015265,52.3809444,4.8880659
86,1013 HC Netherlands,625000.0,104.0,,535813.3071895425,52.3812923,4.8874451
87,1013 HX Netherlands,425000.0,66.5,,226531.77142857143,52.38261499999999,4.8878121
88,1013 JL Netherlands,350000.0,53.0,68.81818181818181,469181.0138248848,52.3815913,4.8880146
89,1013 KN Netherlands,289000.0,53.0,51.94736842105263,178487.6923076923,52.3843007,4.8890123
90,1013 KX Netherlands,834500.0,132.5,960.0,496082.8,52.385526,4.889703600000001
91,1013 LA Netherlands,511333.3333333333,71.0,146.0,1335172.731610338,52.3842363,4.8886458
92,1013 LB Netherlands,637500.0,98.0,153.6,935505.0903225807,52.3875843,4.8875946
93,1013 LL Netherlands,953750.0,119.5,114.14285714285714,600275.1395348837,52.3861378,4.8877137
94,1013 LM Netherlands,575000.0,81.0,234.88888888888889,511804.50837988826,52.3859897,4.8867018
95,1013 NN Netherlands,306250.0,42.75,,249709.14285714287,52.3886578,4.8864073
96,1013 PT Netherlands,212500.0,35.0,,159664.2857142857,52.3898148,4.8858507
97,1013 RJ Netherlands,425000.0,79.5,,228928.55223880598,52.3903116,4.8821872
98,1013 RK Netherlands,637500.0,125.5,,310190.5714285714,52.39011439999999,4.884437
99,1013 RZ Netherlands,300000.0,59.0,,224972.22222222222,52.390575,4.8724004
100,1013 SC Netherlands,312500.0,55.5,,213447.8260869565,52.3913433,4.8713337
101,1013 VB Netherlands,239000.0,46.0,,188951.03703703705,52.3906773,4.8773499
102,1015 AD Netherlands,1466666.6666666667,190.66666666666666,116.52631578947368,694762.703125,52.3768061,4.8914168
103,1015 AE Netherlands,1375000.0,150.0,221.0,480662.3623853211,52.3760929,4.8906464
104,1015 AT Netherlands,350000.0,35.0,60.0,325527.84210526315,52.3766948,4.8905956
105,1015 AW Netherlands,845000.0,113.0,39.45454545454545,250004.2,52.3746914,4.8886503
106,1015 BD Netherlands,750000.0,100.0,78.0,7899410.895522388,52.3774864,4.890748299999999
107,1015 BS Netherlands,887000.0,115.0,450.6470588235294,820367.762962963,52.376437,4.88913
108,1015 BT Netherlands,840000.0,111.0,531.5862068965517,1702162.312328767,52.37566109999999,4.8884191
109,1015 CB Netherlands,1900000.0,264.0,78.07692307692308,1425816.2138728325,52.3773063,4.8885328
110,1015 CE Netherlands,1742000.0,210.0,339.0,455462.8203125,52.3781347,4.8888906
111,1015 CG Netherlands,3450000.0,463.0,88.0,357792.7586206897,52.3775211,4.8883101
112,1015 CH Netherlands,2300000.0,237.0,377.3333333333333,2000156.4285714286,52.37718719999999,4.8880054
